시설종류,대상시설명,소재지도로명주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,지정일자,지정근거,지정절차
초등학교,대동초등학교,세종특별자치시 조치원읍 대동학교길 11,36.59695506,127.2941193,세종특별자치시,세종북부경찰서,Y,1994-08-20,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,대평초등학교,세종특별자치시 대평1길 19,36.46984101,127.2786015,세종특별자치시,세종남부경찰서,N,2018-09-04,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,도담초등학교,세종특별자치시 보람로 33,36.51176637,127.2624382,세종특별자치시,세종남부경찰서,Y,2013-03-01,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,도원초등학교,세종특별자치시 연서면 도원로 63,36.58589843,127.2873926,세종특별자치시,세종북부경찰서,Y,2010-03-08,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,두루초등학교,세종특별자치시 만남로 227,36.51969109,127.2384915,세종특별자치시,세종남부경찰서,Y,2015-03-02,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,명동초등학교,세종특별자치시 조치원읍 조치원10길 35,36.60098735,127.304791,세종특별자치시,세종북부경찰서,N,1996-04-18,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,미르초등학교,세종특별자치시 나리로 26-16,36.47238094,127.2538502,세종특별자치시,세종남부경찰서,N,2014-03-02,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,보람초등학교,세종특별자치시 보람동로 39,36.47962602,127.2932913,세종특별자치시,세종남부경찰서,Y,2016-09-07,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,부강초등학교,세종특별자치시 부강면 부강로 15,36.52783763,127.3665934,세종특별자치시,세종북부경찰서,Y,1998-08-18,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,새롬초등학교,세종특별자치시 새롬중앙1로 27,36.48555063,127.2495281,세종특별자치시,세종남부경찰서,Y,2017-07-14,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,새움초등학교,세종특별자치시 다정남로 93,36.49413618,127.251533,세종특별자치시,세종남부경찰서,N,2018-09-04,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,새뜸초등학교,세종특별자치시 새롬남로 75,36.48576566,127.2535881,세종특별자치시,세종남부경찰서,Y,2017-07-14,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,소담초등학교,세종특별자치시 소담1로 35,36.48316092,127.3014286,세종특별자치시,세종남부경찰서,Y,2016-09-07,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,소정초등학교,세종특별자치시 소정면 학교말길 10,36.72060698,127.1583789,세종특별자치시,세종북부경찰서,Y,2000-09-01,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,수왕초등학교,세종특별자치시 연기면 눌왕길 8-45,36.54347079,127.252231,세종특별자치시,세종남부경찰서,N,2006-10-20,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,신봉초등학교,세종특별자치시 조치원읍 서북부로 10,36.60379355,127.288521,세종특별자치시,세종북부경찰서,Y,2010-03-08,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,쌍류초등학교,세종특별자치시 연서면 벌말길 73,36.59939655,127.2097458,세종특별자치시,세종북부경찰서,N,2006-10-20,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,아름초등학교,세종특별자치시 달빛로 174,36.51452906,127.2516381,세종특별자치시,세종남부경찰서,Y,2014-03-01,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
