사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022062200100140,2022년 6월 22일 08시,수요일,세종특별자치시 아름동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,자전거,여,47세,기타불명,자전거,여,25세,경상
2022062200100172,2022년 6월 22일 09시,수요일,세종특별자치시 금남면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,자전거,남,67세,경상
2022062200100374,2022년 6월 22일 15시,수요일,세종특별자치시 나성동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,50세,상해없음,자전거,여,12세 이하,부상신고
2022062200100466,2022년 6월 22일 17시,수요일,세종특별자치시 어진동,부상신고사고,0,0,0,2,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,23세,부상신고,승용,남,60세,부상신고
2022062300100139,2022년 6월 23일 08시,목요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,흐림,단일로 - 기타,자전거,여,68세,상해없음,보행자,여,12세 이하,경상
2022062300100191,2022년 6월 23일 10시,목요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,화물,여,61세,상해없음,승용,남,58세,경상
2022062300100252,2022년 6월 23일 12시,목요일,세종특별자치시 조치원읍,경상사고,0,0,3,1,차대차 - 정면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,여,58세,경상,승용,남,23세,경상
2022062300100421,2022년 6월 23일 17시,목요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,젖음/습기,흐림,교차로 - 교차로안,승용,여,44세,상해없음,이륜,남,17세,경상
2022062400100020,2022년 6월 24일 00시,금요일,세종특별자치시 집현동,중상사고,0,2,3,0,차대차 - 측면충돌,기타,젖음/습기,비,교차로 - 교차로안,승용,남,49세,상해없음,승용,남,27세,경상
2022062400100036,2022년 6월 24일 01시,금요일,세종특별자치시 연기면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,젖음/습기,비,단일로 - 기타,화물,남,35세,상해없음,승용,여,44세,경상
2022062400100251,2022년 6월 24일 12시,금요일,세종특별자치시 한솔동,부상신고사고,0,0,0,1,차량단독 - 도로외이탈 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,42세,부상신고,,,,
