latitude,longitude
36.50631,127.258695
36.50181,127.252595
36.50181,127.252595
36.502218,127.247413
36.502218,127.247413
36.502218,127.247413
36.502218,127.247413
36.502218,127.247413
36.502218,127.247413
36.502082,127.242595
36.502082,127.242595
36.506882,127.236727
36.506882,127.236727
36.506078,127.237758
36.506078,127.237758
36.501883,127.242585
36.501883,127.242585
36.501915,127.246928
36.501915,127.246928
36.501915,127.246928
36.501915,127.246928
36.501915,127.246928
36.501915,127.246928
36.501588,127.252563
36.501588,127.252563
36.51865,127.25702
36.51865,127.25702
36.51865,127.25702
36.51865,127.25702
36.51872,127.25616
36.51872,127.25616
36.51872,127.25616
36.51872,127.25616
36.512503,127.250412
36.512503,127.250412
36.515358,127.25115
36.515358,127.25115
36.518543,127.252475
36.518543,127.252475
36.507813,127.257255
36.507813,127.257255
36.507832,127.249087
36.508932,127.240585
36.505072,127.243652
36.505072,127.243652
36.496672,127.266642
36.496672,127.266642
36.496672,127.266642
36.499122,127.267802
36.499122,127.267802
36.499122,127.267802
36.500193,127.267463
36.500193,127.267463
36.500193,127.267463
36.496028,127.265733
36.505142,127.248972
36.505142,127.248972
36.505142,127.248972
36.505243,127.244382
36.505243,127.244382
36.508765,127.240713
36.507317,127.250502
36.507317,127.250502
36.507575,127.257328
36.507575,127.257328
36.510807,127.266985
36.495557,127.303347
36.495557,127.303347
36.495557,127.303347
36.495557,127.303347
36.495557,127.303347
36.495982,127.303423
36.495982,127.303423
36.495982,127.303423
36.495982,127.303423
36.495982,127.303423
36.478187,127.288035
36.478187,127.288035
36.478187,127.288035
36.478187,127.288035
36.478187,127.288035
36.478187,127.288035
36.478187,127.288035
36.478827,127.288962
36.478827,127.288962
36.478827,127.288962
36.478827,127.288962
36.478827,127.288962
36.478827,127.288962
36.478827,127.288962
36.509267,127.234363
36.509267,127.234363
36.508937,127.234242
36.508937,127.234242
36.515612,127.23375
36.515612,127.23375
36.515697,127.233615
36.515697,127.233615
36.51733,127.238195
36.51733,127.238195
36.51749,127.237333
36.51749,127.237333
36.51918,127.239462
36.51918,127.239462
36.51918,127.239462
36.518715,127.239178
36.518715,127.239178
36.518715,127.239178
36.520043,127.240575
36.520043,127.240575
36.520043,127.240575
36.520043,127.240575
36.52018,127.241112
36.52018,127.241112
36.52018,127.241112
36.52018,127.241112
36.518782,127.244467
36.518782,127.244467
36.518782,127.244467
36.518782,127.244467
36.519002,127.244555
36.519002,127.244555
36.519002,127.244555
36.519002,127.244555
36.518988,127.2489
36.518988,127.2489
36.518988,127.2489
36.518988,127.2489
36.518988,127.2489
36.519097,127.248368
36.519097,127.248368
36.519097,127.248368
36.519097,127.248368
36.519097,127.248368
36.51301,127.23311
36.51301,127.23311
36.512952,127.233407
36.512952,127.233407
36.517408,127.264915
36.512113,127.259442
36.512113,127.259442
36.512113,127.259442
36.512113,127.259442
36.512113,127.259442
36.512113,127.259442
36.512113,127.259442
36.512113,127.259442
36.512113,127.259442
36.511917,127.260002
36.511917,127.260002
36.511917,127.260002
36.511917,127.260002
36.511917,127.260002
36.511917,127.260002
36.511917,127.260002
36.511917,127.260002
36.519852,127.234952
36.519852,127.234952
36.519852,127.234952
36.519598,127.234937
36.519598,127.234937
36.519598,127.234937
36.517373,127.23113
36.517373,127.23113
36.517233,127.23136
36.517233,127.23136
36.513478,127.229378
36.513478,127.229378
36.513478,127.229378
36.513478,127.229378
36.513478,127.229378
36.513497,127.229658
36.513497,127.229658
36.513497,127.229658
36.513497,127.229658
36.513497,127.229658
36.51068,127.229892
36.51068,127.229892
36.51068,127.229892
36.510563,127.229628
36.510563,127.229628
36.510563,127.229628
36.50716,127.231702
36.50716,127.231702
36.507037,127.231467
36.507037,127.231467
36.504278,127.235268
36.504278,127.235268
36.504278,127.235268
36.504278,127.235268
36.504278,127.235268
36.504327,127.234777
36.504327,127.234777
36.504327,127.234777
36.504327,127.234777
36.504327,127.234777
36.504952,127.248745
36.504952,127.248745
36.504952,127.248745
